"Site";"Date";"T...C. Mean";"T...C. Se";"Water..cm. Mean";"Water..cm. Se";"Salinity..g.L. Mean";"Salinity..g.L. Se";"pH Mean";"pH Se";"Cd..ppm. Mean";"Cd..ppm. Se";"Pb..ppm. Mean";"Pb..ppm. Se";"Fe..ppm. Mean";"Fe..ppm. Se";"Zn..ppm. Mean";"Zn..ppm. Se";"Cu..ppm. Mean";"Cu..ppm. Se";"P..mg.L. Mean";"P..mg.L. Se";"NO3...mg.L. Mean";"NO3...mg.L. Se"
6;189;29;0;11.5;0;37.95;0.175023807904333;8.34666666666667;0.0120185042515464;0.728;0.00288675134594813;1.298;0.00907377172587751;0.234333333333333;0.00676592771006148;0.0655666666666667;0.000233333333333331;0.240333333333333;0.00266666666666667;5.28444;0;128.96744;1.2078306550175
6;220;38.5;0;8.5;0;50.1666666666667;0.027284509239574;7.97;0.0458257569495583;0.726333333333333;0.00233333333333334;1.199;0.00115470053837925;0.214;0.001;0.0518333333333333;0.000202758751009942;0.232666666666667;0.000333333333333334;5.59976666666667;0.0108733333333332;128.67232;0.295120000000007
6;251;28;0;6.2;0;54.5466666666667;0.742009284158748;7.24333333333333;0.0145296631451355;0.708;0;1.09466666666667;0.00120185042515465;0.202666666666667;0.00166666666666666;0.0510333333333333;0.0119842025646728;0.211666666666667;0.00536449231314369;5.79548666666667;0.0661399045794424;121.737;1.27790708582432
6;294;21;0;8.5;0;46.4333333333333;0.566666666666668;8.07666666666667;0.0145296631451353;0.619;0.00173205080756888;1.105;0.00611010092660779;0.169333333333333;0.000333333333333334;0.0278333333333333;0.000560753461375357;0.219666666666667;0.000666666666666667;5.8716;0;101.66884;0.147559999999999
6;312;11.5;0;10.8;0;40;0.0577350269189634;8.25;0.00999999999999979;0.606333333333333;0.00233333333333334;0.927333333333333;0.00185592145427668;0.139666666666667;0.000333333333333334;0.0252;0.000208166599946614;0.195;0.00115470053837925;5.29531333333333;0.0392043608685452;97.83228;0.442680000000001
6;342;11;0;13;0;34.8633333333333;0.448565615168074;8.81333333333333;0.061734197258174;0.721;0.00115470053837925;0.880333333333333;0.00272845092395749;0.106;0.00208166599946613;0.0205;0.000152752523165195;0.161;0.00873689494805411;5.2192;0.167392838954757;90.0116;1.4756
6;35;9;0;40;0;28.9;0.173205080756887;8.24333333333333;0.00666666666666652;0.503333333333333;0.0296273147243853;0.0545;0.000458257569495584;0.114;0.00115470053837925;0.0482;0.0015502687938978;0.315;0.0030550504633039;4.2054;0.018821618775582;87.2727272733333;1.83702358397262
6;67;11;0;40;0;28.0333333333333;0.0881917103688198;8.69333333333333;0.017638342073764;0.028;0.000577350269189626;0.7566;0.00495210392998101;0.116;0.006;0.046;0.00145716619962629;0.396333333333333;0.00348010216963685;4.6618;0.0188216187755818;95.3030303;0.151515149999999
6;8;3.5;0;20;0;29.2066666666667;0.0578311719096584;9.20666666666667;0.0933333333333337;0.573333333333333;0.0120185042515466;0.216333333333333;0.00545690184791497;0.163;0.00208166599946613;0.373333333333333;0.0145296631451356;0.419;0.00472581562625261;4.3032;0.0325999999999998;70.90909091;1.38865930289043
6;98;22;0;24;0;28.0933333333333;0.0470224532655525;9.63666666666667;0.0545690184791501;0.4241;0.00413561764834872;0.465333333333333;0.00425571511160123;1.57466666666667;0.00698410894658569;0.161933333333333;0.000145296631451357;0.07;0.000115470053837924;4.29233333333333;0.0217333333333333;90.4545454566667;0.454545453333334
